11746909_a_at	A1CF	SHPRH	0.11081568	TRIM10	0.11914056   
11736238_a_at	ABCA5	ANKS1A	0.1333185	CCDC90B	0.14495682   
11724734_at	ABCB8	HYKK	0.09577321	LDB3	0.09845833   
11723976_at	ABCC8	FAM161B	0.15087105	ID1	0.14801268   
11718612_a_at	ABCD4	HOXC6	0.23559235	LCMT2	0.12867001   
11758217_s_at	ABHD17C	FZD7	0.46334574	HIVEP3	0.24272481
